Contig	habitat	group1	group2
ERR1135423	Fram animals	human-associated	human-associated
ERR2200469	Fram animals	human-associated	human-associated
ERR2200470	Fram animals	human-associated	human-associated
ERR2200472	Fram animals	human-associated	human-associated
ERR2200557	Fram animals	human-associated	human-associated
ERR2200588	Fram animals	human-associated	human-associated
ERR2200589	Fram animals	human-associated	human-associated
ERR2200592	Fram animals	human-associated	human-associated
ERR2200594	Fram animals	human-associated	human-associated
ERR2200596	Fram animals	human-associated	human-associated
ERR2200598	Fram animals	human-associated	human-associated
ERR2241907	Fram animals	human-associated	human-associated
ERR2241908	Fram animals	human-associated	human-associated
ERR2241909	Fram animals	human-associated	human-associated
ERR2241919	Fram animals	human-associated	human-associated
ERR2241923	Fram animals	human-associated	human-associated
ERR2241925	Fram animals	human-associated	human-associated
ERR2241929	Fram animals	human-associated	human-associated
ERR2241934	Fram animals	human-associated	human-associated
ERR2889252	Fram animals	human-associated	human-associated
ERR2889255	Fram animals	human-associated	human-associated
ERR2889258	Fram animals	human-associated	human-associated
ERR2889267	Fram animals	human-associated	human-associated
ERR2889271	Fram animals	human-associated	human-associated
ERR4083931	Fram animals	human-associated	human-associated
ERR4083932	Fram animals	human-associated	human-associated
ERR4083933	Fram animals	human-associated	human-associated
ERR4083983	Fram animals	human-associated	human-associated
ERR4083984	Fram animals	human-associated	human-associated
SRR10209665	Fram animals	human-associated	human-associated
SRR10209672	Fram animals	human-associated	human-associated
SRR10209687	Fram animals	human-associated	human-associated
SRR10393135	Fram animals	human-associated	human-associated
SRR10765507	Fram animals	human-associated	human-associated
SRR10765519	Fram animals	human-associated	human-associated
SRR10912537	Fram animals	human-associated	human-associated
SRR11183666	Fram animals	human-associated	human-associated
SRR11185226	Fram animals	human-associated	human-associated
SRR11185229	Fram animals	human-associated	human-associated
SRR11185234	Fram animals	human-associated	human-associated
SRR11489747	Fram animals	human-associated	human-associated
SRR11489756	Fram animals	human-associated	human-associated
SRR11569199	Fram animals	human-associated	human-associated
SRR11569210	Fram animals	human-associated	human-associated
SRR12177542	Fram animals	human-associated	human-associated
SRR12177544	Fram animals	human-associated	human-associated
SRR12177546	Fram animals	human-associated	human-associated
SRR12177548	Fram animals	human-associated	human-associated
SRR12177549	Fram animals	human-associated	human-associated
SRR13783084	Fram animals	human-associated	human-associated
SRR13783088	Fram animals	human-associated	human-associated
SRR14556795	Fram animals	human-associated	human-associated
SRR14556796	Fram animals	human-associated	human-associated
SRR14556797	Fram animals	human-associated	human-associated
SRR14556798	Fram animals	human-associated	human-associated
SRR14556799	Fram animals	human-associated	human-associated
SRR14556800	Fram animals	human-associated	human-associated
SRR16020806	Fram animals	human-associated	human-associated
SRR16020810	Fram animals	human-associated	human-associated
SRR16020823	Fram animals	human-associated	human-associated
SRR17284435	Fram animals	human-associated	human-associated
SRR17284438	Fram animals	human-associated	human-associated
SRR17284442	Fram animals	human-associated	human-associated
SRR17284448	Fram animals	human-associated	human-associated
SRR17284456	Fram animals	human-associated	human-associated
SRR17889444	Fram animals	human-associated	human-associated
SRR17889447	Fram animals	human-associated	human-associated
SRR17889464	Fram animals	human-associated	human-associated
SRR18274463	Fram animals	human-associated	human-associated
SRR18274464	Fram animals	human-associated	human-associated
SRR18274470	Fram animals	human-associated	human-associated
SRR18274475	Fram animals	human-associated	human-associated
SRR18274477	Fram animals	human-associated	human-associated
SRR18576642	Fram animals	human-associated	human-associated
SRR18576648	Fram animals	human-associated	human-associated
SRR18576654	Fram animals	human-associated	human-associated
SRR18751091	Fram animals	human-associated	human-associated
SRR19070415	Fram animals	human-associated	human-associated
SRR19070461	Fram animals	human-associated	human-associated
SRR19090065	Fram animals	human-associated	human-associated
SRR20642301	Fram animals	human-associated	human-associated
SRR20642305	Fram animals	human-associated	human-associated
SRR21527943	Fram animals	human-associated	human-associated
SRR21527944	Fram animals	human-associated	human-associated
SRR21527946	Fram animals	human-associated	human-associated
SRR21527947	Fram animals	human-associated	human-associated
SRR22213135	Fram animals	human-associated	human-associated
SRR22213136	Fram animals	human-associated	human-associated
SRR22213149	Fram animals	human-associated	human-associated
SRR22213161	Fram animals	human-associated	human-associated
SRR22213180	Fram animals	human-associated	human-associated
SRR22213600	Fram animals	human-associated	human-associated
SRR22213601	Fram animals	human-associated	human-associated
SRR22213607	Fram animals	human-associated	human-associated
SRR22308414	Fram animals	human-associated	human-associated
SRR22308415	Fram animals	human-associated	human-associated
SRR22328598	Fram animals	human-associated	human-associated
SRR22345190	Fram animals	human-associated	human-associated
SRR22348038	Fram animals	human-associated	human-associated
SRR23387573	Fram animals	human-associated	human-associated
SRR23387577	Fram animals	human-associated	human-associated
SRR23387582	Fram animals	human-associated	human-associated
SRR23387585	Fram animals	human-associated	human-associated
SRR23559860	Fram animals	human-associated	human-associated
SRR23559864	Fram animals	human-associated	human-associated
SRR23559871	Fram animals	human-associated	human-associated
SRR23946412	Fram animals	human-associated	human-associated
SRR23946416	Fram animals	human-associated	human-associated
SRR23946422	Fram animals	human-associated	human-associated
SRR24140655	Fram animals	human-associated	human-associated
SRR5198696	Fram animals	human-associated	human-associated
SRR5198701	Fram animals	human-associated	human-associated
SRR5198713	Fram animals	human-associated	human-associated
SRR5198719	Fram animals	human-associated	human-associated
SRR5198722	Fram animals	human-associated	human-associated
SRR5198725	Fram animals	human-associated	human-associated
SRR5241533	Fram animals	human-associated	human-associated
SRR5241541	Fram animals	human-associated	human-associated
SRR5241545	Fram animals	human-associated	human-associated
SRR5976180	Fram animals	human-associated	human-associated
SRR6512889	Fram animals	human-associated	human-associated
SRR6512893	Fram animals	human-associated	human-associated
SRR6512899	Fram animals	human-associated	human-associated
SRR6958876	Fram animals	human-associated	human-associated
SRR6958881	Fram animals	human-associated	human-associated
SRR6958887	Fram animals	human-associated	human-associated
SRR8879110	Fram animals	human-associated	human-associated
SRR8879116	Fram animals	human-associated	human-associated
SRR8879122	Fram animals	human-associated	human-associated
SRR8879126	Fram animals	human-associated	human-associated
SRR9008934	Fram animals	human-associated	human-associated
SRR9008937	Fram animals	human-associated	human-associated
SRR9030900	Fram animals	human-associated	human-associated
SRR9030903	Fram animals	human-associated	human-associated
SRR9030910	Fram animals	human-associated	human-associated
SRR9037494	Fram animals	human-associated	human-associated
SRR9037495	Fram animals	human-associated	human-associated
SRR9037496	Fram animals	human-associated	human-associated
SRR9037497	Fram animals	human-associated	human-associated
DRR049542	Aquatic organism	non.human	non.human
ERR1111514	Aquatic organism	non.human	non.human
ERR1111515	Aquatic organism	non.human	non.human
ERR1698991	Aquatic organism	non.human	non.human
ERR1698993	Aquatic organism	non.human	non.human
ERR1868842	Aquatic organism	non.human	non.human
ERR1868845	Aquatic organism	non.human	non.human
ERR1868852	Aquatic organism	non.human	non.human
ERR1868858	Aquatic organism	non.human	non.human
ERR1868861	Aquatic organism	non.human	non.human
ERR2094165	Aquatic organism	non.human	non.human
ERR2094172	Aquatic organism	non.human	non.human
ERR2094175	Aquatic organism	non.human	non.human
ERR2193917	Aquatic organism	non.human	non.human
ERR2195675	Aquatic organism	non.human	non.human
ERR3047201	Aquatic organism	non.human	non.human
ERR3047202	Aquatic organism	non.human	non.human
ERR3342487	Aquatic organism	non.human	non.human
ERR3342490	Aquatic organism	non.human	non.human
ERR3342495	Aquatic organism	non.human	non.human
ERR3342496	Aquatic organism	non.human	non.human
ERR3342497	Aquatic organism	non.human	non.human
ERR3342498	Aquatic organism	non.human	non.human
SRR12009694	Aquatic organism	non.human	non.human
SRR12009695	Aquatic organism	non.human	non.human
SRR12009696	Aquatic organism	non.human	non.human
SRR12337184	Aquatic organism	non.human	non.human
SRR12337186	Aquatic organism	non.human	non.human
SRR12337189	Aquatic organism	non.human	non.human
SRR12349255	Aquatic organism	non.human	non.human
SRR12349256	Aquatic organism	non.human	non.human
SRR12349258	Aquatic organism	non.human	non.human
SRR12349260	Aquatic organism	non.human	non.human
SRR12548983	Aquatic organism	non.human	non.human
SRR12731286	Aquatic organism	non.human	non.human
SRR13566417	Aquatic organism	non.human	non.human
SRR13566419	Aquatic organism	non.human	non.human
SRR13566424	Aquatic organism	non.human	non.human
SRR13566428	Aquatic organism	non.human	non.human
SRR13566432	Aquatic organism	non.human	non.human
SRR14083534	Aquatic organism	non.human	non.human
SRR14556198	Aquatic organism	non.human	non.human
SRR14556200	Aquatic organism	non.human	non.human
SRR14556205	Aquatic organism	non.human	non.human
SRR14556227	Aquatic organism	non.human	non.human
SRR14878350	Aquatic organism	non.human	non.human
SRR14878352	Aquatic organism	non.human	non.human
SRR14878364	Aquatic organism	non.human	non.human
SRR14878384	Aquatic organism	non.human	non.human
SRR15291756	Aquatic organism	non.human	non.human
SRR15291760	Aquatic organism	non.human	non.human
SRR15291762	Aquatic organism	non.human	non.human
SRR1578068	Aquatic organism	non.human	non.human
SRR1586370	Aquatic organism	non.human	non.human
SRR1586416	Aquatic organism	non.human	non.human
SRR16282456	Aquatic organism	non.human	non.human
SRR16282457	Aquatic organism	non.human	non.human
SRR16282465	Aquatic organism	non.human	non.human
SRR17267537	Aquatic organism	non.human	non.human
SRR17267542	Aquatic organism	non.human	non.human
SRR17267546	Aquatic organism	non.human	non.human
SRR21393943	Aquatic organism	non.human	non.human
SRR21393944	Aquatic organism	non.human	non.human
SRR21393945	Aquatic organism	non.human	non.human
SRR21393947	Aquatic organism	non.human	non.human
SRR21393949	Aquatic organism	non.human	non.human
SRR22462775	Aquatic organism	non.human	non.human
SRR23320465	Aquatic organism	non.human	non.human
SRR23320467	Aquatic organism	non.human	non.human
SRR23320468	Aquatic organism	non.human	non.human
SRR24315697	Aquatic organism	non.human	non.human
SRR24315700	Aquatic organism	non.human	non.human
SRR24315704	Aquatic organism	non.human	non.human
SRR24315707	Aquatic organism	non.human	non.human
SRR3036329	Aquatic organism	non.human	non.human
SRR5439158	Aquatic organism	non.human	non.human
SRR5439169	Aquatic organism	non.human	non.human
SRR5439185	Aquatic organism	non.human	non.human
SRR5439186	Aquatic organism	non.human	non.human
SRR5873457	Aquatic organism	non.human	non.human
SRR6058006	Aquatic organism	non.human	non.human
SRR6058008	Aquatic organism	non.human	non.human
SRR6058014	Aquatic organism	non.human	non.human
SRR6058016	Aquatic organism	non.human	non.human
SRR7716262	Aquatic organism	non.human	non.human
SRR7764474	Aquatic organism	non.human	non.human
SRR7764476	Aquatic organism	non.human	non.human
SRR7764479	Aquatic organism	non.human	non.human
SRR8127968	Aquatic organism	non.human	non.human
SRR8127969	Aquatic organism	non.human	non.human
SRR8246563	Aquatic organism	non.human	non.human
SRR8426922	Aquatic organism	non.human	non.human
SRR8426928	Aquatic organism	non.human	non.human
SRR8655138	Aquatic organism	non.human	non.human
SRR9031335	Aquatic organism	non.human	non.human
SRR9330010	Aquatic organism	non.human	non.human
13566_5#1	Human	human-associated	human-associated
13566_5#2	Human	human-associated	human-associated
ERR1769192	Human	human-associated	human-associated
ERR1769198	Human	human-associated	human-associated
ERR2641806	Human	human-associated	human-associated
ERR3502012	Human	human-associated	human-associated
ERR3502016	Human	human-associated	human-associated
ERR3502025	Human	human-associated	human-associated
ERR3502029	Human	human-associated	human-associated
ERR3522034	Human	human-associated	human-associated
ERR4373938	Human	human-associated	human-associated
ERR4373953	Human	human-associated	human-associated
ERR4373954	Human	human-associated	human-associated
ERR4626666	Human	human-associated	human-associated
ERR6748490	Human	human-associated	human-associated
ERR6748493	Human	human-associated	human-associated
SRR10279191	Human	human-associated	human-associated
SRR10359430	Human	human-associated	human-associated
SRR11047630	Human	human-associated	human-associated
SRR11047636	Human	human-associated	human-associated
SRR11047644	Human	human-associated	human-associated
SRR11207282	Human	human-associated	human-associated
SRR11207283	Human	human-associated	human-associated
SRR11851394	Human	human-associated	human-associated
SRR12405240	Human	human-associated	human-associated
SRR12660595	Human	human-associated	human-associated
SRR12660598	Human	human-associated	human-associated
SRR12665164	Human	human-associated	human-associated
SRR12665168	Human	human-associated	human-associated
SRR13061234	Human	human-associated	human-associated
SRR13061238	Human	human-associated	human-associated
SRR13061505	Human	human-associated	human-associated
SRR13061517	Human	human-associated	human-associated
SRR13061575	Human	human-associated	human-associated
SRR13061588	Human	human-associated	human-associated
SRR13068815	Human	human-associated	human-associated
SRR13068818	Human	human-associated	human-associated
SRR13068826	Human	human-associated	human-associated
SRR13090265	Human	human-associated	human-associated
SRR13131994	Human	human-associated	human-associated
SRR13320432	Human	human-associated	human-associated
SRR13320433	Human	human-associated	human-associated
SRR13320434	Human	human-associated	human-associated
SRR13320436	Human	human-associated	human-associated
SRR13320441	Human	human-associated	human-associated
SRR14888485	Human	human-associated	human-associated
SRR14888488	Human	human-associated	human-associated
SRR14888489	Human	human-associated	human-associated
SRR15508273	Human	human-associated	human-associated
SRR15508274	Human	human-associated	human-associated
SRR15674878	Human	human-associated	human-associated
SRR15835060	Human	human-associated	human-associated
SRR15835103	Human	human-associated	human-associated
SRR15931062	Human	human-associated	human-associated
SRR15931064	Human	human-associated	human-associated
SRR15966643	Human	human-associated	human-associated
SRR15966649	Human	human-associated	human-associated
SRR15966653	Human	human-associated	human-associated
SRR16554624	Human	human-associated	human-associated
SRR16681855	Human	human-associated	human-associated
SRR16681858	Human	human-associated	human-associated
SRR16681862	Human	human-associated	human-associated
SRR17284118	Human	human-associated	human-associated
SRR17651250	Human	human-associated	human-associated
SRR17651252	Human	human-associated	human-associated
SRR17651281	Human	human-associated	human-associated
SRR17893055	Human	human-associated	human-associated
SRR17893060	Human	human-associated	human-associated
SRR17893091	Human	human-associated	human-associated
SRR18283319	Human	human-associated	human-associated
SRR18765388	Human	human-associated	human-associated
SRR18841882	Human	human-associated	human-associated
SRR19362245	Human	human-associated	human-associated
SRR19362256	Human	human-associated	human-associated
SRR19362260	Human	human-associated	human-associated
SRR19362262	Human	human-associated	human-associated
SRR20881974	Human	human-associated	human-associated
SRR20881978	Human	human-associated	human-associated
SRR21474234	Human	human-associated	human-associated
SRR21991763	Human	human-associated	human-associated
SRR21991768	Human	human-associated	human-associated
SRR21995931	Human	human-associated	human-associated
SRR21995990	Human	human-associated	human-associated
SRR22041694	Human	human-associated	human-associated
SRR22041698	Human	human-associated	human-associated
SRR22041704	Human	human-associated	human-associated
SRR22246244	Human	human-associated	human-associated
SRR23266622	Human	human-associated	human-associated
SRR23345839	Human	human-associated	human-associated
SRR23345844	Human	human-associated	human-associated
SRR23345851	Human	human-associated	human-associated
SRR23512154	Human	human-associated	human-associated
SRR23512166	Human	human-associated	human-associated
SRR23512172	Human	human-associated	human-associated
SRR23512181	Human	human-associated	human-associated
SRR23525251	Human	human-associated	human-associated
SRR23525255	Human	human-associated	human-associated
SRR23525264	Human	human-associated	human-associated
SRR23717147	Human	human-associated	human-associated
SRR23717153	Human	human-associated	human-associated
SRR23717162	Human	human-associated	human-associated
SRR23754801	Human	human-associated	human-associated
SRR23754804	Human	human-associated	human-associated
SRR23754807	Human	human-associated	human-associated
SRR23754813	Human	human-associated	human-associated
SRR23801859	Human	human-associated	human-associated
SRR23801860	Human	human-associated	human-associated
SRR24139309	Human	human-associated	human-associated
SRR24139461	Human	human-associated	human-associated
SRR24139559	Human	human-associated	human-associated
SRR24139562	Human	human-associated	human-associated
SRR24519239	Human	human-associated	human-associated
SRR24519242	Human	human-associated	human-associated
SRR24519248	Human	human-associated	human-associated
SRR2673279	Human	human-associated	human-associated
SRR2673280	Human	human-associated	human-associated
SRR3116176	Human	human-associated	human-associated
SRR3116181	Human	human-associated	human-associated
SRR5188793	Human	human-associated	human-associated
SRR5581856	Human	human-associated	human-associated
SRR5892193	Human	human-associated	human-associated
SRR5892209	Human	human-associated	human-associated
SRR5892215	Human	human-associated	human-associated
SRR5930710	Human	human-associated	human-associated
SRR6920728	Human	human-associated	human-associated
SRR6920731	Human	human-associated	human-associated
SRR6920733	Human	human-associated	human-associated
SRR6920734	Human	human-associated	human-associated
