habitat	latitude	longitude	number
Seawater	"	-62.4"	50.00 	2
Soil	"	50.28"	-107.80 	4
Food	"	37.9838"	23.73 	1
Sediment	53.99 	162.38 	4
Wild animal	84.35 	27.53 	1
Surface water	82.59 	-80.60 	2
Seawater	78.55 	12.04 	2
Soil	78.53 	12.40 	2
Soil	77.86 	40.80 	3
Sediment	76.46 	125.50 	2
Seawater	75.64 	-158.81 	1
Seawater	74.32 	-159.44 	1
Soil	72.37 	126.48 	3
Sediment	69.28 	20.00 	1
Soil	68.35 	19.05 	2
Seawater	67.67 	-168.95 	2
Sediment	64.90 	-51.13 	2
Sediment	64.80 	-51.10 	4
Sediment	63.20 	90.41 	1
Sediment	61.39 	7.90 	1
Sediment	61.34 	8.90 	3
Soil	60.91 	68.75 	2
Sediment	60.47 	-93.58 	1
Human	60.27 	22.15 	2
Seawater	60.16 	5.12 	1
Wild animal	60.13 	-18.64 	5
Human	60.10 	25.50 	3
Plant	60.00 	10.79 	2
Food	59.68 	10.76 	6
Human	59.56 	10.42 	3
Aquatic organism	56.77 	-5.23 	1
Animal husbandry	56.67 	-10.76 	3
Sediment	56.24 	10.34 	2
Insect	55.69 	36.73 	2
Human	55.67 	12.57 	4
Soil	55.55 	55.60 	2
Insect	55.50 	-3.07 	4
Human	55.45 	37.37 	9
Human	55.43 	12.34 	3
Animal husbandry	55.40 	-12.32 	2
Animal husbandry	55.40 	12.32 	1
Surface water	54.25 	90.13 	3
Seawater	54.18 	7.90 	2
Animal husbandry	53.97 	-116.62 	1
Animal husbandry	53.96 	-116.61 	1
Animal husbandry	53.95 	-116.60 	1
Animal husbandry	53.94 	-116.59 	1
Animal husbandry	53.93 	-116.58 	6
Seawater	53.67 	-129.13 	2
Sediment	53.59 	12.53 	3
Food	53.54 	-113.49 	3
Food	53.00 	-8.00 	7
Seawater	52.59 	1.74 	2
Human	52.52 	13.41 	2
Wild animal	52.45 	13.19 	1
Wild animal	52.24 	21.02 	1
Plant	52.13 	5.29 	2
Human	52.00 	0.00 	12
Soil	51.98 	5.67 	4
Food	51.90 	-8.48 	4
Human	51.90 	-8.48 	2
Soil	51.82 	11.70 	5
Surface water	51.78 	104.92 	2
Animal husbandry	51.52 	85.54 	2
Human	51.51 	0.13 	1
Wild animal	51.45 	30.07 	2
Wild animal	51.39 	30.07 	3
Wild animal	51.32 	12.39 	2
Human	51.00 	5.40 	4
Sediment	50.96 	13.78 	4
Plant	50.96 	6.86 	2
Plant	50.96 	35.86 	3
Plant	50.96 	6.86 	3
Wild animal	50.80 	8.81 	1
Soil	50.28 	-107.76 	2
Surface water	50.17 	12.58 	2
Insect	50.10 	8.22 	3
Animal husbandry	49.97 	88.13 	3
Wild animal	49.57 	89.01 	3
Food	49.26 	-123.25 	2
Wild animal	49.23 	116.29 	3
Animal husbandry	49.17 	6.53 	3
Insect	48.85 	2.35 	1
Surface water	48.85 	14.49 	4
Human	48.66 	-91.55 	1
Seawater	48.59 	-123.51 	2
Plant	48.56 	9.13 	1
Human	48.54 	-2.18 	1
Human	48.53 	-2.19 	2
Human	48.52 	2.25 	1
Plant	48.45 	-122.32 	2
Soil	47.91 	45.38 	1
Soil	47.91 	45.38 	3
Soil	47.86 	127.76 	2
Surface water	47.82 	13.37 	2
Surface water	47.76 	9.13 	2
Human	47.66 	-122.28 	2
Food	47.49 	19.05 	2
Plant	47.48 	8.22 	4
Surface water	47.30 	8.57 	1
Surface water	47.10 	-99.10 	2
Human	47.00 	8.51 	1
Animal husbandry	47.00 	6.00 	1
Human	46.95 	7.42 	6
Surface water	46.68 	7.72 	1
Surface water	46.65 	-81.32 	2
Sediment	46.54 	10.56 	1
Food	46.51 	-63.42 	4
Sediment	46.51 	10.30 	1
Sediment	46.20 	7.33 	1
Sediment	46.18 	9.56 	3
Surface water	45.98 	8.97 	2
Surface water	45.84 	8.62 	1
Surface water	45.84 	8.70 	1
Surface water	45.83 	8.61 	1
Surface water	45.82 	8.73 	1
Human	45.77 	126.65 	1
Animal husbandry	45.71 	3.01 	10
Aquatic organism	45.68 	111.05 	5
